employees,volume,eps,profit,income,cash,liab,assets,cap,shares,ticker
432,215517,0.47,877185000,367231000,93097000,4682631000,10792563000,11763567616,171372992,REG
10368,261328,10.09,10726100000,9325800000,2885600000,6666000000,25434800000,73359884288,106716000,REGN
19626,2368569,0.63,6960000000,3215000000,1350000000,144612000000,162938000000,21390358528,937145984,RF
35000,260526,0.93,4648000000,1575100000,29000000,15975300000,24955000000,41006292992,316431008,RSG
7970,555278,1.3,1889459000,883662000,295278000,1842446000,4728125000,33999405056,146234000,RMD
14600,213621,0.98,2696028000,803780000,619001000,1571308000,2952359000,12967971840,110686000,RHI
24500,168493,2.41,2897700000,1526200000,662200000,8007500000,10701600000,31676190720,116196000,ROK
16482,209396,0.14,1261683000,474838000,105301000,898822000,1980870000,16428466176,492086016,ROL
19300,91323,3.39,3917400000,1271000000,351500000,12150100000,23713900000,48957550592,105603000,ROP
84900,1438952,-4.44,-1083258000,-5305699000,2701770000,27172799000,32258355000,19322853376,255003008,RCL
22850,665100,3.39,6102000000,4164000000,6497000000,9490000000,15026000000,145071046656,354359008,SPGI
73541,4689039,1.21,19466000000,1532000000,5464000000,37078000000,95209000000,208790994944,985000000,CRM
1596,227083,-0.11,1735729000,252564000,367278000,15067853000,9801699000,34566238208,107920000,SBAC
16500,180682,0.78,1680900000,716200000,561000000,5980600000,6229300000,10115487744,148158000,SEE
15390,1035589,2.95,4705000000,1561000000,559000000,44626000000,72045000000,50075353088,315654016,SRE
16881,476257,1.52,4543000000,249000000,1728000000,7103000000,10798000000,115066003456,200000000,NOW
61000,484534,2.06,8542700000,2248600000,165700000,18229500000,20666700000,64579428352,260548000,SHW
1854,699049,3.24,1951374000,1247774000,29620671000,110604809000,118445427000,18828496896,62751200,SBNY
2400,405570,1.36,4143625000,2725906000,533936000,29376654000,33777379000,49321271296,328588000,SPG
11000,356265,2.37,2512400000,1598700000,882900000,3293600000,8590700000,22111289344,164006000,SWKS
7100,373584,1.89,3142100000,1171900000,334300000,8159400000,16284200000,14189560832,108458000,SJM
12800,89665,3.5,2382800000,1088400000,779900000,2555900000,6759700000,11052171264,53438600,SNA
3964,645559,0.98,629318000,187224000,530089000,1582021000,2892060000,17843214336,52818700,SEDG
27027,1502451,0.98,10061000000,2561000000,1798000000,94967000000,127534000000,72901419008,1060230016,SO
55100,2258013,-1.72,2172000000,1325000000,12480000000,25906000000,36320000000,25423319040,592342016,LUV
71300,908389,3.13,5233200000,1660000000,142300000,16587600000,28180000000,23246850048,163411008,SWK
383000,3659293,0.62,8435400000,5356900000,6455700000,36707100000,31392600000,99627483136,1150300032,SBUX
