employees,volume,eps,profit,income,cash,liab,assets,cap,shares,ticker
17654,2179548,0.61,7683000000,3254000000,913000000,168923000000,186346000000,21927632896,927761024,KEY
14300,367047,1.44,3069000000,1010000000,2052000000,3997000000,7781000000,28799182848,181975008,KEYS
45000,692501,1.8,6142000000,2323000000,270000000,17100000000,17837000000,40716062720,336928000,KMB
606,1232729,0.3,946674000,853076000,334663000,8335537000,18459199000,14935006208,616718976,KIM
10529,5779968,0.6,7749000000,2219000000,1140000000,38495000000,70416000000,41245462528,2267480064,KMI
11300,384590,3.85,4146569000,2360454000,1434610000,6895482000,10271124000,53720858624,150715008,KLAC
36000,2564920,0.72,8695000000,1708000000,3445000000,43942000000,93394000000,46606139392,1223740032,KHC
500000,2718900,1.19,30349000000,2051000000,311000000,39657000000,49086000000,40931880960,726000000,KR
67950,338236,8.79,5624300000,3126600000,1472700000,10091400000,20385400000,25276375040,93400000,LH
16300,495591,7.49,6805306000,4370804000,4418263000,9864964000,15892152000,75448573952,139500000,LRCX
7800,558945,0.45,832000000,408300000,783500000,3728800000,4209400000,7951370752,145204000,LW
44500,2070254,-0.25,2828000000,-1474000000,1854000000,17811000000,20059000000,29459456000,763990016,LVS
43000,242069,1.73,2014000000,967000000,727000000,8917000000,13261000000,14555190272,136342000,LDOS
10753,952151,2.65,7333336000,5819058000,2754723000,12211496000,33207778000,24670791680,257306000,LEN
10848,385789,1.82,5304000000,1638000000,2612000000,367029000000,387301000000,11364785152,172455008,LNC
10200,777164,-1.44,1912458000,-611267000,4884729000,14038851000,14402318000,25885898752,224626000,LYV
46000,338570,0.94,5321981000,1422067000,274134000,6795493000,12606154000,12977019904,284990016,LKQ
114000,951541,6.56,9097000000,7550000000,3604000000,39914000000,50873000000,121049358336,272327008,LMT
300000,1762796,3.21,32056000000,11208000000,1133000000,49456000000,44640000000,146380292096,661561024,LOW
36000,3737129,0.44,11199000000,2701000000,354000000,46153000000,57993000000,11108680704,1023369984,LUMN
19100,485727,3.18,8776000000,6779000000,1472000000,24754000000,36742000000,34559131648,328009984,LYB
17115,344391,3.33,6066772000,2455149000,1337577000,137203755000,155107160000,23393982464,129034000,MTB
1531,11019917,0.21,4355000000,1004000000,580000000,6308000000,16994000000,18587006976,730764992,MRO
17700,2392937,-0.2,10443000000,2817000000,5291000000,51792000000,85373000000,44873043968,558574016,MPC
