employees,volume,eps,profit,income,cash,liab,assets,cap,shares,ticker
120000,1440637,0.1,2653000000,1180000000,1393000000,24139000000,25553000000,55001583616,326311008,MAR
83000,674527,1.99,8710000000,4208000000,1752000000,23166000000,34388000000,82036326400,502766016,MMC
10000,133694,1.04,1349000000,855500000,258400000,7855400000,14393000000,23746136064,62394600,MLM
20000,823580,0.89,2863000000,688000000,926000000,5497000000,5575000000,12891224064,239926000,MAS
24000,1050310,1.74,18884000000,10307000000,7421000000,30257000000,37669000000,339951190016,969729024,MA
2500,1017282,0.57,2146329000,256148000,815384000,5257870000,5063288000,29681053696,285148000,MTCH
14000,258378,0.72,2505600000,948000000,351700000,8480300000,12905800000,25656825856,249743008,MKC
100000,964011,1.92,12580200000,9127900000,4709200000,58455300000,53854300000,175794651136,743585024,MCD
59000,534650,5.05,11967000000,-5034000000,6278000000,63569000000,65015000000,44925919232,149798000,MCK
90000,2848549,1.5,19762000000,3895000000,3593000000,41481000000,93083000000,142136147968,1341539968,MDT
67000,3874193,1.16,35463000000,13879000000,8096000000,67437000000,105694000000,201915056128,2527729920,MRK
71970,11306304,3.3,95280000000,47284000000,16601000000,41108000000,165987000000,570775371776,2309080064,FB
15600,66014,6.56,2171553000,949361000,98564000,3155377000,3326798000,31357700096,22805600,MTD
52000,1054750,-0.69,4649531000,1461804000,4703059000,29774803000,40899116000,18230028288,439172000,MGM
19500,2137408,0.92,3378800000,339500000,280000000,11141700000,16478800000,41763262464,555990976,MCHP
43000,14398391,0.98,10472000000,6255000000,7763000000,14916000000,58849000000,86139076608,1119779968,MU
181000,13147612,2.03,115856000000,71102000000,14224000000,191791000000,333779000000,2266153877504,7496869888,MSFT
2429,125821,0.4,1051185000,564339000,54302000,5131275000,11285182000,24160471040,115341000,MAA
2700,4538877,2.84,13863000000,13285000000,6848000000,10524000000,24669000000,73184403456,403020000,MRNA
43000,314103,3.49,3288830000,1289993000,268895000,5796301000,14224517000,8876335104,65071000,MHK
14000,122361,4.44,3280000000,875000000,4438000000,9579000000,12209000000,19423256576,58400000,MOH
16300,422399,0.01,4053400000,1239000000,637400000,13954900000,27619000000,11453736960,200599008,TAP
79000,2531058,0.77,11254000000,5504000000,3546000000,38769000000,67092000000,84445175808,1388329984,MDLZ
2773,223708,1.46,685459000,272219000,189265000,341840000,1585825000,22238744576,46509000,MPWR
3458,967244,0.59,3108513000,1801419000,1326462000,1237833000,7804784000,41485864960,529359008,MNST
13460,237198,4.06,4581000000,2755000000,1811000000,11764000000,14680000000,61018689536,185376992,MCO
12525,4557047,0.57,3233900000,2232600000,769500000,11287900000,22036400000,24772462592,368308992,MOS
18700,182218,1.87,4048000000,1552000000,1874000000,12212000000,12189000000,38467715072,168208992,MSI
4303,188141,2.46,1684860000,858136000,1421449000,5670170000,5506703000,40455974912,81267904,MSCI
5814,244542,1.96,3420000000,1534000000,393000000,13710000000,20115000000,28762234880,164412000,NDAQ
11000,682689,1.17,3815000000,962000000,4529000000,8675000000,9360000000,19694436352,222536000,NTAP
11300,1988395,3.75,12365161000,5840103000,6027804000,28735415000,44584663000,167977844736,443963008,NFLX
32000,679051,0.3,3318000000,693000000,440000000,10088000000,14179000000,9361000448,425500000,NWL
24000,617020,0.09,4579000000,450000000,2236000000,7625000000,16771000000,12813489152,389656000,NWSA
15000,2441624,0.67,8589000000,3175000000,639000000,95243000000,140912000000,161926053888,1962739968,NEE
14000,3214223,0.47,2288000000,557000000,380000000,7324000000,10820000000,8376000000,359484992,NLSN
73300,4257392,0.93,20001000000,6661000000,9889000000,24973000000,37740000000,211372359680,1276290048,NKE
7272,1380285,0.77,2066900000,706600000,84200000,16884000000,24156900000,12200060928,405384992,NI
7100,77661,2.12,1324080000,574176000,299972000,1631831000,3790961000,13267818496,57940600,NDSN
18100,416538,2.66,5730000000,3878000000,839000000,24852000000,38493000000,66624430080,239776992,NSC
21100,205450,1.7,6546000000,2010100000,3056800000,171873000000,183889800000,24052881408,207944000,NTRS
88000,233444,6.57,7268000000,8938000000,3530000000,29653000000,42579000000,69281030144,156102000,NOC
2800,1086869,0.4,2189000000,872000000,933000000,6861000000,6361000000,15902261248,581860992,NLOK
34700,8909520,-2.03,-960051000,-4501320000,1506647000,16297187000,18729837000,8166544384,417086016,NCLH
6635,994075,-0.33,6507000000,2859000000,250000000,19582000000,23182000000,8843463680,242152992,NRG
28800,1729651,3.12,11046917000,9200858000,2364858000,11219278000,25823072000,39942184960,269124992,NUE
22473,31068983,0.91,17475000000,9941000000,1990000000,17575000000,44187000000,656866279424,2492000000,NVDA
6600,9335,63.21,2116741000,1590403000,2545069000,2832097000,5834475000,16415118336,3382730,NVR
31000,745466,2.31,6067000000,2178000000,2830000000,14094000000,20864000000,49149739008,262538000,NXPI
82852,309032,7.06,7019949000,2781914000,362113000,11785130000,11718707000,45485420544,66600900,ORLY
11678,25186825,-0.15,16297000000,3705000000,2764000000,54709000000,75036000000,56314720256,934064000,OXY
23663,169616,1.7,2000794000,1388423000,462564000,1141737000,4821544000,36253949952,114864000,ODFL
71700,376780,1.33,2703900000,1996300000,5316800000,24302800000,28421800000,17287819264,208992000,OMC
2847,837445,0.86,4283654000,1984204000,146391000,17606450000,23621613000,30929254400,446212992,OKE
132000,2631344,1.54,32624000000,12999000000,30098000000,125155000000,131107000000,215505305600,2670449920,ORCL
70000,621643,0.72,4193000000,1961000000,1565000000,15263000000,12279000000,32764567552,424961984,OTIS
28500,397737,1.35,3162000000,2378600000,3253600000,17864300000,29301700000,30654504960,347572000,PCAR
15200,144514,1.77,1880000000,1108700000,618700000,4229600000,7836800000,14319088640,93533800,PKG
22965,4798391,1.52,10842000000,5115000000,6267000000,35543000000,58620000000,24452003840,607876992,PARA
54640,165276,4.11,3932960000,2246957000,733117000,11927530000,20341200000,36946419712,128478000,PH
15000,534100,0.96,2785600000,1434200000,995200000,6279200000,9227200000,45383229440,360756992,PAYX
5385,157940,1.47,925049000,255962000,277978000,2321431000,3215145000,21012705280,60213500,PAYC
30900,7225498,1.22,11921000000,4099000000,5197000000,54076000000,75803000000,134941941760,1164999936,PYPL
21973,1409588,0.55,2937200000,539100000,1863900000,12775000000,16872100000,7222740480,168323008,PENN
11250,1413146,0.81,1319200000,626800000,94500000,2331700000,4753600000,9397435392,165099008,PNR
309000,1796451,1.21,42429000000,9821000000,5596000000,76226000000,92377000000,226692120576,1383449984,PEP
16700,133095,3.72,2890369000,1279886000,618319000,7859309000,15000554000,22665367552,126157000,PKI
69600,1846520,1.57,21375000000,12381000000,4496000000,49498000000,41290000000,141654458368,1549830016,PM
14000,1523267,-1.16,9374000000,1740000000,3147000000,33957000000,55594000000,45485346816,438462016,PSX
5872,149502,0.32,1697217000,746030000,9969000,15981762000,22003222000,8281868288,112932000,PNW
1932,1183245,1.77,9392000000,2746000000,3847000000,13974000000,36811000000,62274846720,242884000,PXD
57668,469500,4.1,19990000000,6988000000,7431000000,501465000000,557191000000,81376944128,418455008,PNC
5500,151910,2.42,1617092000,824436000,24321000,2158738000,3230131000,18528741376,40168100,POOL
